,Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture)
252,287.43,0.0,115.37,264.54,0.0,832.29,791.79
253,189.7,117.4,0.0,213.76,0.0,1066.66,863.86
254,235.66,186.58,0.0,168.43,8.8,971.27,905.29
255,317.74,0.0,107.64,206.05,0.0,988.85,706.89
256,258.26,187.41,0.0,167.8,6.79,869.77,772.31
257,334.94,0.0,0.0,190.73,0.0,967.32,874.92
258,446.42,0.0,0.0,153.45,9.43,965.66,700.92
259,438.81,0.0,0.0,212.02,0.0,992.47,683.4
260,392.05,0.0,0.0,240.96,0.0,998.27,819.8
261,275.21,149.5,0.0,296.24,0.0,773.78,755.6
262,362.94,0.0,0.0,218.23,0.0,1053.74,820.98
263,313.26,0.0,0.0,109.92,5.71,958.52,956.34
264,435.08,0.0,0.0,219.19,0.0,1044.87,757.97
265,326.68,0.0,0.0,130.04,9.89,981.02,837.7
266,300.8,0.0,125.43,156.48,5.55,837.4,827.95
267,318.5,0.0,113.7,200.18,0.0,1021.47,700.77
268,404.32,0.0,0.0,260.65,0.0,1055.28,727.46
269,220.46,155.04,0.0,228.22,0.0,914.34,799.86
270,385.72,0.0,0.0,261.48,0.0,1001.48,671.72
271,411.96,0.0,0.0,128.44,7.17,928.27,862.26
272,367.04,0.0,0.0,242.13,0.0,1009.62,854.55
273,373.51,0.0,0.0,155.1,0.0,1021.57,744.23
274,303.57,0.0,96.95,173.04,0.0,991.4,769.46
275,242.74,189.79,0.0,272.82,0.0,1028.7,765.54
276,203.55,181.57,0.0,181.88,0.0,977.21,895.05
277,234.46,0.0,84.83,160.11,0.0,926.4,805.62
278,305.53,0.0,107.46,174.22,0.0,1120.72,762.14
279,353.47,0.0,0.0,172.9,0.0,1083.16,729.74
280,440.43,0.0,0.0,303.2,0.0,917.03,612.34
281,251.54,124.74,0.0,197.12,0.0,1128.87,792.13
282,259.47,0.0,77.06,101.62,8.34,1172.01,799.52
283,308.4,0.0,85.03,159.29,0.0,973.44,881.05
284,389.09,0.0,0.0,192.88,0.0,945.16,847.29
285,167.9,148.36,0.0,134.81,0.0,1065.47,921.12
286,244.24,109.31,0.0,111.97,7.13,1000.19,842.33
287,415.64,0.0,0.0,260.14,0.0,1008.43,699.07
288,352.62,0.0,0.0,207.81,0.0,897.35,742.61
289,337.03,0.0,0.0,136.21,0.0,926.56,876.62
290,249.26,188.2,0.0,205.61,0.0,915.68,663.39
291,422.21,0.0,0.0,251.27,0.0,937.93,734.59
292,312.1,0.0,119.73,143.49,7.66,1036.27,793.09
293,327.87,0.0,109.26,177.61,0.0,933.91,775.85
294,404.26,0.0,0.0,131.93,8.54,1006.83,942.49
295,449.19,0.0,0.0,195.39,0.0,931.49,809.48
296,357.28,0.0,0.0,233.47,0.0,882.27,855.38
297,292.41,0.0,96.04,136.35,5.97,1161.07,811.79
298,431.39,0.0,0.0,198.16,0.0,875.11,861.99
299,336.76,0.0,104.47,169.03,9.94,869.57,770.81
300,306.34,0.0,130.75,265.09,0.0,835.27,750.32
301,445.59,0.0,0.0,305.08,0.0,864.67,826.43
302,241.59,149.0,0.0,168.89,0.0,1101.93,774.79
303,319.09,0.0,82.72,142.82,9.95,1008.78,690.96
304,276.3,0.0,100.9,191.2,0.0,1014.92,734.56
305,271.54,153.51,0.0,164.38,8.84,1004.65,809.51
306,432.93,0.0,0.0,136.7,7.6,847.37,814.18
307,294.45,133.44,0.0,130.89,7.21,972.03,889.68
308,287.57,143.89,0.0,197.47,0.0,954.08,751.92
309,386.44,0.0,0.0,244.53,0.0,1082.89,757.91
310,230.06,180.89,0.0,180.22,0.0,1093.8,733.53
311,277.47,0.0,83.23,235.66,0.0,964.07,797.81
312,336.44,0.0,87.44,179.55,0.0,1062.27,753.57
313,305.9,0.0,124.71,170.5,5.43,940.32,875.53
314,312.71,0.0,126.4,238.35,0.0,963.6,815.62
315,332.9,0.0,99.65,276.64,0.0,857.31,816.14
316,226.03,153.04,0.0,214.78,0.0,956.05,721.06
317,311.88,0.0,93.19,175.63,0.0,988.17,840.99
318,264.79,0.0,90.43,129.69,9.64,909.19,848.88
319,308.3,0.0,0.0,186.82,0.0,1051.82,744.37
320,335.25,0.0,0.0,172.88,0.0,1133.1,799.89
321,366.97,0.0,0.0,196.84,0.0,1009.13,920.33
322,414.62,0.0,0.0,270.61,0.0,799.3,785.88
323,255.15,157.27,0.0,148.47,5.58,959.57,890.98
324,262.06,179.49,0.0,140.65,9.15,939.1,936.35
325,295.41,0.0,85.89,209.66,0.0,1066.91,761.18
326,408.54,0.0,0.0,175.17,0.0,936.27,856.52
327,175.4,161.1,0.0,108.95,7.99,1022.1,1021.73
328,417.3,0.0,0.0,221.49,0.0,1079.0,749.51
329,439.46,0.0,0.0,137.86,6.51,1006.11,827.45
330,250.9,128.91,0.0,247.77,0.0,856.25,805.9
331,314.91,0.0,0.0,111.61,6.38,1132.25,893.04
332,273.01,126.04,0.0,277.39,0.0,876.38,854.63
333,324.27,0.0,110.35,174.61,0.0,944.5,826.37
334,365.55,0.0,0.0,240.67,0.0,947.14,792.41
335,431.72,0.0,0.0,223.35,0.0,990.09,751.18
336,276.3,0.0,81.05,227.79,0.0,949.57,668.93
337,313.52,0.0,125.7,261.79,0.0,908.07,644.43
338,402.15,0.0,0.0,255.89,0.0,786.93,760.72
339,398.3,0.0,0.0,138.24,5.91,975.76,719.54
340,387.35,0.0,0.0,264.23,0.0,1001.54,770.66
341,193.0,116.19,0.0,201.31,0.0,910.44,870.24
342,319.26,0.0,0.0,169.62,0.0,966.88,913.06
343,307.87,0.0,0.0,100.06,8.37,944.84,854.1
344,317.14,0.0,83.58,187.66,0.0,1025.2,705.68
345,447.5,0.0,0.0,205.74,0.0,941.6,863.43
346,410.21,0.0,0.0,170.42,0.0,1051.09,831.46
347,417.06,0.0,0.0,198.9,0.0,964.75,691.91
348,322.97,0.0,0.0,162.06,0.0,888.17,848.81
349,207.0,122.75,0.0,129.93,7.28,1174.8,783.7
350,333.63,0.0,89.82,179.0,0.0,951.93,688.0
351,270.52,131.47,0.0,270.21,0.0,949.02,720.18
352,331.54,0.0,0.0,195.24,0.0,925.12,907.98
353,351.26,0.0,0.0,165.27,0.0,1132.33,791.46
354,278.8,0.0,86.39,228.0,0.0,1093.08,747.06
355,317.82,0.0,126.88,256.75,0.0,974.54,738.58
356,235.3,146.02,0.0,141.51,6.4,1132.25,841.54
357,445.75,0.0,0.0,248.99,0.0,837.56,684.17
358,364.44,0.0,0.0,232.49,0.0,911.9,882.04
359,234.68,159.6,0.0,221.41,0.0,933.55,912.21
360,339.88,0.0,0.0,217.21,0.0,916.57,844.66
361,256.27,0.0,93.74,243.9,0.0,961.31,819.51
362,276.48,0.0,110.16,130.47,6.94,1001.31,892.84
363,443.04,0.0,0.0,247.0,0.0,819.47,802.92
364,427.44,0.0,0.0,194.13,0.0,895.64,834.87
365,326.27,0.0,0.0,183.24,0.0,892.82,858.36
366,181.81,168.65,0.0,122.23,7.48,948.32,889.4
367,264.27,173.04,0.0,238.21,0.0,1034.36,789.94
368,424.56,0.0,0.0,281.41,0.0,948.5,744.0
369,421.03,0.0,0.0,153.4,6.99,1006.75,734.77
370,296.64,0.0,94.71,188.42,0.0,1038.03,752.92
371,407.43,0.0,0.0,265.83,0.0,866.97,849.15
372,431.87,0.0,0.0,171.34,8.04,910.65,841.51
373,417.11,0.0,0.0,137.35,7.64,1081.42,846.2
374,333.24,0.0,112.57,184.79,0.0,936.61,752.04
375,405.8,0.0,0.0,253.42,0.0,900.12,692.3
376,426.22,0.0,0.0,271.7,0.0,778.69,772.8
377,257.76,149.95,0.0,170.25,0.0,905.75,806.82
378,352.82,0.0,0.0,126.63,5.77,1116.24,806.06
379,195.4,168.15,0.0,125.11,5.91,985.33,734.73
380,251.42,115.18,0.0,192.87,0.0,895.26,763.26
381,358.5,0.0,0.0,160.03,0.0,884.84,800.09
382,448.39,0.0,0.0,226.67,0.0,862.21,680.47
383,339.55,0.0,86.63,274.29,0.0,864.82,652.43
384,225.3,214.97,0.0,156.08,7.04,949.66,751.17
385,202.42,181.25,0.0,185.56,0.0,853.79,784.29
386,263.15,125.3,0.0,118.45,7.45,1006.01,764.42
387,263.47,0.0,70.33,231.59,0.0,988.45,900.35
388,438.37,0.0,0.0,157.4,9.06,1092.95,738.43
389,436.74,0.0,0.0,230.18,0.0,989.82,743.86
390,247.12,0.0,97.09,153.01,0.0,1071.95,867.45
391,427.47,0.0,0.0,135.88,6.72,996.08,793.26
392,323.51,0.0,102.7,290.91,0.0,853.65,694.33
393,319.07,0.0,88.52,247.03,0.0,874.1,873.55
394,216.9,187.69,0.0,131.15,6.7,1159.78,778.41
395,352.15,0.0,0.0,229.11,0.0,944.77,782.57
396,205.88,132.47,0.0,216.51,0.0,1001.88,768.75
397,232.6,200.85,0.0,286.59,0.0,926.14,809.36
398,286.52,132.88,0.0,133.03,5.53,975.91,681.27
399,324.84,0.0,98.48,281.64,0.0,893.54,643.73
400,349.48,0.0,0.0,139.5,8.53,989.29,732.71
401,432.63,0.0,0.0,281.34,0.0,922.59,686.82
402,399.23,0.0,0.0,253.09,0.0,780.49,774.66
403,338.9,0.0,109.45,288.38,0.0,970.61,750.58
404,323.65,0.0,121.99,143.12,5.61,987.57,918.72
405,448.71,0.0,0.0,193.92,0.0,1050.31,736.94
406,435.4,0.0,0.0,166.01,5.04,969.31,811.31
407,303.7,0.0,87.96,233.55,0.0,926.0,916.8
408,410.18,0.0,0.0,134.7,9.93,883.38,876.62
409,309.0,0.0,100.26,254.71,0.0,882.28,661.66
410,266.82,162.38,0.0,246.68,0.0,809.97,785.4
411,390.51,0.0,0.0,181.11,0.0,967.93,717.47
412,448.24,0.0,0.0,168.81,9.2,978.47,771.79
413,252.93,189.99,0.0,277.12,0.0,1044.71,723.83
414,215.58,138.85,0.0,212.93,0.0,979.08,764.12
415,379.84,0.0,0.0,184.12,0.0,1097.11,783.02
416,236.48,159.01,0.0,275.4,0.0,868.0,790.43
417,251.08,150.51,0.0,176.99,0.0,969.9,883.8
418,271.96,167.87,0.0,284.36,0.0,797.3,773.09
419,200.57,187.99,0.0,131.39,9.9,1157.94,819.86
420,268.58,0.0,110.42,185.66,0.0,1060.29,744.69
421,421.14,0.0,0.0,210.93,0.0,943.76,884.46
422,316.84,0.0,119.18,173.24,7.42,917.79,684.3
423,255.07,186.61,0.0,180.84,0.0,1071.03,799.12
424,227.26,0.0,97.23,217.94,0.0,963.39,921.86
425,415.12,0.0,0.0,175.57,0.0,971.79,789.87
426,447.37,0.0,0.0,191.54,0.0,978.27,750.35
427,282.11,121.64,0.0,161.42,9.76,929.07,772.72
428,242.35,131.57,0.0,224.18,0.0,1086.07,751.95
429,448.78,0.0,0.0,136.17,8.39,983.73,916.47
430,351.37,0.0,98.43,141.43,5.65,1128.28,778.12
431,331.83,0.0,0.0,206.32,0.0,1027.2,850.07
432,194.91,110.79,0.0,131.81,0.0,1006.99,781.36
433,258.44,0.0,106.11,142.05,6.71,895.76,853.37
434,330.14,0.0,87.58,270.85,0.0,971.45,799.05
435,371.79,0.0,0.0,171.78,0.0,1048.22,745.44
436,267.52,163.49,0.0,239.88,0.0,892.45,799.1
437,367.47,0.0,0.0,171.69,0.0,909.58,904.46
438,416.36,0.0,0.0,132.84,6.25,1015.46,785.93
439,255.17,170.16,0.0,271.97,0.0,878.35,849.73
440,267.75,161.43,0.0,170.85,8.11,946.74,864.46
441,260.54,116.39,0.0,252.12,0.0,924.34,672.19
442,301.95,0.0,99.04,186.96,0.0,875.13,849.29
443,263.38,0.0,73.11,191.96,0.0,1041.59,897.33
444,435.17,0.0,0.0,193.35,0.0,981.72,718.13
445,235.78,102.0,0.0,149.79,0.0,950.76,772.41
446,244.17,191.9,0.0,291.73,0.0,888.42,695.22
447,299.69,0.0,107.38,239.04,0.0,849.64,815.89
448,425.63,0.0,0.0,208.94,0.0,1057.18,756.14
